Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C2, C3, C4, C8",C_0201,6,100nF,
C10,C_0805,1,22uF 25V,C45783
C11,C_0402,1,100nF 25V,C56392
"C12, C16",C_0201,2,100nF,C76934
C14,C_0201,1,18pF,C62164
C15,C_0805,1,47uF 6V,C16780
"C5, C7",C_0805,2,22uF 35V,C6119901
C6,C_0201,1,1uF,
C9,C_0603,1,47uF,
D1,SMD1615,1,XL-1010RGBC-WS2812B,C5349954
D2,DFN1006-2L,1,~,C5137770
J2,WAGO-2060-453-998-404,1,Wago,C2765056
J3,USB-C-Socket-H,1,USB-C-Socket-H,C709357
L1,L_5x5,1,4.7uH,C307876
"R1, R4",R_0201,2,10K,C473048
R10,R_0201,1,33k 1%,C320835
R2,R_0201,1,4k7,C270346
R3,R_0201,1,124K,C423759
R5,R_0201,1,47R,C273279
"R6, R7",R_0201,2,5K1,C274341
"R8, R9",R_0201,2,150k 1%,C310173
U1,ESP32-S3-MINI-1,1,ESP32-S3-MINI-1-N4R2,C3013941
U2,"IR-SMD-4P,3.35x3.9mm",1,IRMHF384,C7280961
U3,ICS43434_MEMS_Mic_Open,1,ICS43434_MEMS_Mic,C5656610
U4,SOT-563,1,TPS562243,C42295941
