Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_0603_,1,100nF,C30926
C2,C_0805_,1,2.2uF,C19110
C3,C_0805_,1,10uF,C17024
"D1, D10, D11, D12, D2, D3, D4, D5, D6, D7, D8, D9",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,12,WS2812B,C4154881
D13,MHS190RGBCT,1,LED_BARG,C409798
D14,D_1206_,1,Schottky,C143805
J2,USC16-TR,1,USB-C,C709357
L1,L_4x4_,1,6.8uH,C354575
R1,R_0603,1,10k,
R2,R_0603,1,300R,
R3,R_0603,1,1K,
R4,R_0603,1,100R,
"R5, R6",R_0603,2,5K1,
R7,R_0603,1,100k 1%,C14675
R8,R_0603,1,30k 1%,C100001
U1,ESP32-PICO-MINI-02,1,ESP32-PICO-MINI-02,C2980306
U2,SOT-23-Thin-6-Reg,1,LMR16006XDDCR,C290195
